,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_11,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_8,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_11,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_8,epoch,start_time,end_time,metric:val_accuracy [0.0; 100.0] (maximize),NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_13,seed,status,config_id,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_9
0,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,2_4,0_2,0_3,1_2,skip_connect,sep_conv_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_3x3,sep_conv_5x5,skip_connect,skip_connect,avg_pool_3x3,sep_conv_5x5,sep_conv_3x3,98,0.0,98.0,91.71001,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,0,max_pool_3x3,max_pool_3x3,max_pool_3x3
1,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,1_4,0_2,0_1,1_3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,avg_pool_3x3,sep_conv_5x5,skip_connect,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,98,98.0,196.0,92.06978,sep_conv_5x5,sep_conv_5x5,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,1,max_pool_3x3,max_pool_3x3,max_pool_3x3
2,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,1_4,0_2,0_1,1_3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,avg_pool_3x3,sep_conv_5x5,skip_connect,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,98,196.0,294.0,91.671745,sep_conv_5x5,sep_conv_5x5,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,2,max_pool_3x3,max_pool_3x3,max_pool_3x3
3,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_3x3,dil_conv_3x3,skip_connect,max_pool_3x3,skip_connect,max_pool_3x3,dil_conv_5x5,98,294.0,392.0,92.97482,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,3,max_pool_3x3,max_pool_3x3,max_pool_3x3
4,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,sep_conv_5x5,98,392.0,490.0,93.18135,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,skip_connect,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,4,max_pool_3x3,max_pool_3x3,max_pool_3x3
5,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_5x5,avg_pool_3x3,skip_connect,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,98,490.0,588.0,92.92965,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,5,max_pool_3x3,max_pool_3x3,max_pool_3x3
6,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,dil_conv_5x5,dil_conv_3x3,dil_conv_3x3,skip_connect,max_pool_3x3,skip_connect,max_pool_3x3,skip_connect,98,588.0,686.0,93.06455,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,dil_conv_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,6,max_pool_3x3,max_pool_3x3,max_pool_3x3
7,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,1_4,0_2,0_1,1_3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,dil_conv_3x3,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,skip_connect,skip_connect,sep_conv_5x5,max_pool_3x3,98,686.0,784.0,91.93504,sep_conv_5x5,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,7,max_pool_3x3,max_pool_3x3,max_pool_3x3
8,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,2_4,0_2,0_3,1_2,avg_pool_3x3,sep_conv_3x3,dil_conv_5x5,dil_conv_3x3,sep_conv_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,sep_conv_3x3,98,784.0,882.0,91.59012,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,8,max_pool_3x3,max_pool_3x3,max_pool_3x3
9,sep_conv_5x5,sep_conv_5x5,dil_conv_5x5,sep_conv_5x5,0_1,0_1,0_3,0_2,0_3,1_4,max_pool_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,avg_pool_3x3,max_pool_3x3,avg_pool_3x3,avg_pool_3x3,dil_conv_3x3,skip_connect,98,882.0,980.0,93.6229,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,dil_conv_3x3,sep_conv_3x3,sep_conv_5x5,0,success,9,max_pool_3x3,max_pool_3x3,max_pool_3x3
10,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,1_4,0_2,0_1,1_3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,avg_pool_3x3,sep_conv_5x5,skip_connect,max_pool_3x3,dil_conv_3x3,sep_conv_3x3,avg_pool_3x3,max_pool_3x3,98,980.0,1078.0,91.85107,sep_conv_5x5,dil_conv_5x5,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,10,max_pool_3x3,max_pool_3x3,max_pool_3x3
11,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,2_4,0_2,0_3,1_2,avg_pool_3x3,sep_conv_3x3,dil_conv_5x5,dil_conv_3x3,sep_conv_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,avg_pool_3x3,sep_conv_5x5,dil_conv_3x3,max_pool_3x3,98,1078.0,1176.0,91.37225,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,11,max_pool_3x3,max_pool_3x3,max_pool_3x3
12,sep_conv_5x5,sep_conv_5x5,dil_conv_5x5,sep_conv_5x5,0_1,0_1,0_3,0_2,0_3,1_4,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,skip_connect,max_pool_3x3,skip_connect,dil_conv_3x3,98,1176.0,1274.0,92.92035,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,skip_connect,max_pool_3x3,dil_conv_3x3,dil_conv_3x3,sep_conv_5x5,0,success,12,max_pool_3x3,max_pool_3x3,max_pool_3x3
13,dil_conv_3x3,dil_conv_5x5,avg_pool_3x3,dil_conv_5x5,1_2,1_3,1_4,0_2,0_1,1_3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,avg_pool_3x3,sep_conv_5x5,skip_connect,max_pool_3x3,dil_conv_5x5,max_pool_3x3,dil_conv_5x5,max_pool_3x3,98,1274.0,1372.0,91.50608,sep_conv_5x5,dil_conv_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,13,max_pool_3x3,max_pool_3x3,max_pool_3x3
14,sep_conv_5x5,sep_conv_5x5,dil_conv_5x5,sep_conv_5x5,0_1,0_1,0_3,0_2,0_3,1_4,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,98,1372.0,1470.0,92.945816,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,skip_connect,max_pool_3x3,dil_conv_3x3,dil_conv_3x3,sep_conv_3x3,0,success,14,max_pool_3x3,max_pool_3x3,max_pool_3x3
15,sep_conv_5x5,sep_conv_5x5,dil_conv_5x5,sep_conv_5x5,0_1,0_1,0_3,0_2,0_3,1_4,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_5x5,max_pool_3x3,dil_conv_3x3,skip_connect,dil_conv_3x3,sep_conv_3x3,98,1470.0,1568.0,92.97923,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,skip_connect,max_pool_3x3,dil_conv_3x3,dil_conv_3x3,avg_pool_3x3,0,success,15,max_pool_3x3,max_pool_3x3,max_pool_3x3
16,max_pool_3x3,skip_connect,skip_connect,dil_conv_5x5,0_1,1_3,0_2,1_2,1_3,1_2,skip_connect,max_pool_3x3,sep_conv_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,skip_connect,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,98,1568.0,1666.0,92.7724,max_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,16,max_pool_3x3,max_pool_3x3,max_pool_3x3
