,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_8,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_13,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_0,NetworkSelectorDatasetInfo_COLON_darts_COLON_inputs_node_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_1,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_2,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_8,epoch,start_time,end_time,metric:val_accuracy [0.0; 100.0] (maximize),NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_5,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_9,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_10,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_4,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_12,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_6,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_7,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_normal_11,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_3,NetworkSelectorDatasetInfo_COLON_darts_COLON_edge_reduce_11,seed,status,config_id
0,sep_conv_3x3,3_4,avg_pool_3x3,1_3,1_4,max_pool_3x3,0_2,2_3,sep_conv_3x3,max_pool_3x3,dil_conv_3x3,dil_conv_3x3,dil_conv_3x3,avg_pool_3x3,0_1,dil_conv_5x5,max_pool_3x3,sep_conv_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,skip_connect,98,0.0,98.0,91.83047,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,0
1,skip_connect,0_1,max_pool_3x3,0_1,0_1,sep_conv_3x3,0_2,0_2,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,skip_connect,0_2,dil_conv_5x5,dil_conv_5x5,max_pool_3x3,skip_connect,dil_conv_5x5,dil_conv_3x3,max_pool_3x3,98,98.0,196.0,93.38199,sep_conv_5x5,dil_conv_3x3,dil_conv_3x3,sep_conv_5x5,sep_conv_5x5,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,1
2,sep_conv_5x5,0_4,dil_conv_5x5,0_1,1_3,dil_conv_3x3,0_2,0_3,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,sep_conv_3x3,1_2,dil_conv_5x5,dil_conv_5x5,sep_conv_3x3,skip_connect,sep_conv_5x5,max_pool_3x3,avg_pool_3x3,98,196.0,294.0,93.09529,dil_conv_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,skip_connect,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,2
3,max_pool_3x3,1_3,skip_connect,2_3,0_2,max_pool_3x3,1_2,0_1,sep_conv_5x5,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,dil_conv_5x5,1_2,dil_conv_5x5,max_pool_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,98,294.0,392.0,92.36664,max_pool_3x3,skip_connect,avg_pool_3x3,max_pool_3x3,skip_connect,sep_conv_3x3,max_pool_3x3,sep_conv_5x5,dil_conv_5x5,sep_conv_5x5,max_pool_3x3,max_pool_3x3,0,success,3
4,sep_conv_5x5,2_3,dil_conv_5x5,0_3,1_2,max_pool_3x3,1_2,0_2,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,sep_conv_5x5,0_2,dil_conv_5x5,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,98,392.0,490.0,92.57429,sep_conv_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_3x3,dil_conv_5x5,0,success,4
5,sep_conv_3x3,1_2,sep_conv_3x3,0_2,2_3,max_pool_3x3,0_2,0_2,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,dil_conv_5x5,1_2,avg_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,98,490.0,588.0,92.35031,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,dil_conv_5x5,sep_conv_5x5,max_pool_3x3,dil_conv_5x5,dil_conv_5x5,max_pool_3x3,dil_conv_3x3,0,success,5
6,max_pool_3x3,0_2,dil_conv_5x5,0_1,3_4,dil_conv_5x5,0_2,0_1,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,1_2,avg_pool_3x3,max_pool_3x3,skip_connect,avg_pool_3x3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,98,588.0,686.0,92.24874,dil_conv_3x3,max_pool_3x3,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,dil_conv_5x5,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,skip_connect,0,success,6
7,dil_conv_5x5,3_4,avg_pool_3x3,0_3,1_3,max_pool_3x3,0_2,0_1,dil_conv_5x5,max_pool_3x3,max_pool_3x3,dil_conv_3x3,max_pool_3x3,avg_pool_3x3,0_2,sep_conv_3x3,dil_conv_5x5,max_pool_3x3,dil_conv_3x3,skip_connect,max_pool_3x3,max_pool_3x3,98,686.0,784.0,92.2133,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,7
8,sep_conv_3x3,1_2,skip_connect,0_3,1_2,max_pool_3x3,1_2,1_3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,0_2,max_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,avg_pool_3x3,dil_conv_3x3,dil_conv_5x5,98,784.0,882.0,92.691505,sep_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,sep_conv_5x5,dil_conv_3x3,max_pool_3x3,sep_conv_5x5,max_pool_3x3,max_pool_3x3,avg_pool_3x3,dil_conv_5x5,0,success,8
9,skip_connect,0_1,dil_conv_5x5,2_3,0_1,max_pool_3x3,0_2,1_3,dil_conv_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,dil_conv_3x3,0_1,max_pool_3x3,max_pool_3x3,skip_connect,max_pool_3x3,sep_conv_5x5,avg_pool_3x3,dil_conv_5x5,98,882.0,980.0,92.16869,max_pool_3x3,dil_conv_5x5,max_pool_3x3,max_pool_3x3,sep_conv_3x3,max_pool_3x3,max_pool_3x3,skip_connect,avg_pool_3x3,max_pool_3x3,max_pool_3x3,max_pool_3x3,0,success,9
